snow_pct,annual_prcp_mean,annual_prcp_std,annual_tmax_mean,annual_tmax_std,annual_tmin_mean,annual_tmin_std,annual_tavg_mean,annual_tavg_std,Jan_prcp_mean,Feb_prcp_mean,Mar_prcp_mean,Apr_prcp_mean,May_prcp_mean,Jun_prcp_mean,Jul_prcp_mean,Aug_prcp_mean,Sep_prcp_mean,Oct_prcp_mean,Nov_prcp_mean,Dec_prcp_mean,Jan_tavg_mean,Feb_tavg_mean,Mar_tavg_mean,Apr_tavg_mean,May_tavg_mean,Jun_tavg_mean,Jul_tavg_mean,Aug_tavg_mean,Sep_tavg_mean,Oct_tavg_mean,Nov_tavg_mean,Dec_tavg_mean
1.343233,1.017099,0.572289,-1.028418,-1.534968,-1.105966,-0.302955,-0.888299,0.638319,0.704275,0.705573,0.491427,1.054077,0.358618,0.639784,0.362772,0.716053,0.591410,2.386849,1.265490,0.972175,-1.252705,-1.239737,-1.351348,-0.986573,-0.681289,-0.633128,-0.575009,-0.637839,-0.581600,-0.732382,-0.657778,-0.848516
0.712811,0.720731,0.441241,-0.040954,-1.558321,0.006478,-0.531243,-0.011892,-0.815865,0.910777,0.832582,0.937087,1.163550,-0.324740,0.135763,-0.135906,0.214515,0.325248,1.447899,0.989487,0.949150,-0.171002,-0.231599,-0.347016,-0.118077,-0.042207,-0.013620,0.125477,0.106667,0.134762,0.088822,0.212458,0.144263
0.746109,0.559075,0.330896,-0.040954,-1.511733,-0.029820,-0.109305,-0.031765,-0.815865,0.767258,0.717712,0.742111,0.945009,-0.367875,0.072510,-0.135906,0.127290,0.236787,1.380831,0.788758,0.787981,-0.206683,-0.263831,-0.371375,-0.131236,-0.042207,-0.013620,0.125477,0.087075,0.115401,0.068343,0.191233,0.115221
0.599005,0.639903,0.386712,-0.022001,-1.546630,0.269109,-2.724338,0.133182,-0.974208,0.890557,0.832582,1.187771,1.200129,-0.270712,-0.011920,-0.231485,0.083678,0.354764,1.079026,0.889123,0.857054,0.135105,0.001365,-0.195242,-0.084240,-0.079800,-0.032393,0.183851,0.204629,0.289651,0.293610,0.459443,0.429684
0.718387,0.666845,0.494539,-0.078861,-1.296721,-0.014874,-0.277886,-0.033753,-0.871657,0.788050,0.700708,0.714257,1.090524,-0.189450,0.220008,0.030320,0.258127,0.502563,1.380831,0.838940,0.741932,-0.201049,-0.262040,-0.356385,-0.119957,-0.042207,-0.013620,0.086561,0.067483,0.115401,0.068343,0.189303,0.113741
0.896835,0.612960,0.481327,-0.173627,-1.374755,-0.175015,-0.117067,-0.147030,-0.815865,0.767258,0.705573,0.602842,0.945009,-0.189450,0.177898,0.030320,0.279933,0.354764,1.380831,0.713485,0.695884,-0.358798,-0.399921,-0.478179,-0.206431,-0.117393,-0.088712,0.008729,-0.030479,0.018595,-0.054531,0.060022,-0.027767
0.849188,0.586018,0.358968,-0.135720,-1.534968,-0.136581,0.090830,-0.117220,-0.815865,0.767258,0.720135,0.602842,0.908744,-0.270712,0.114685,-0.032014,0.192709,0.325248,1.414365,0.713485,0.741932,-0.317483,-0.362317,-0.450073,-0.189512,-0.098597,-0.069939,0.028187,0.008706,0.037956,-0.013573,0.094754,0.010893
0.784493,0.639903,0.288155,-0.078861,-1.534968,-0.027685,-0.691876,-0.033753,-0.849240,0.829339,0.768333,0.769964,1.090524,-0.243654,0.135763,-0.073571,0.192709,0.354764,1.313763,0.864032,0.787981,-0.189782,-0.253087,-0.363880,-0.136876,-0.061004,-0.032393,0.086561,0.067483,0.115401,0.068343,0.195092,0.126875
0.633619,0.774616,0.622729,-0.040954,-1.285683,0.170889,-0.101569,0.093436,-0.928287,0.849839,0.789852,0.937087,1.236752,-0.080700,0.262093,-0.011236,0.323545,0.621053,1.514967,0.989487,0.811005,-0.009498,-0.101956,-0.230843,-0.048522,-0.004614,0.023926,0.164393,0.165444,0.212206,0.211695,0.345598,0.290951
1.120078,0.909329,0.610220,-0.514785,-0.528063,-0.635793,0.649667,-0.397432,-0.368133,0.808743,0.801762,0.658549,0.836353,0.248167,0.472152,0.362772,0.541605,0.799190,1.850306,0.838940,0.995199,-0.679928,-0.711495,-0.763758,-0.422615,-0.248969,-0.238895,-0.205308,-0.265586,-0.194377,-0.290038,-0.208188,-0.325027
