BFI,annual_Q_mean,Q5_mean,Q5_std,Q25_mean,Q25_std,Q50_mean,Q50_std,Q75_mean,Q75_std,Q95_mean,Q95_std,Jan_Q_mean,Feb_Q_mean,Mar_Q_mean,Apr_Q_mean,May_Q_mean,Jun_Q_mean,Jul_Q_mean,Aug_Q_mean,Sep_Q_mean,Oct_Q_mean,Nov_Q_mean,Dec_Q_mean
-0.26092,0.99445,0.29519,0.70771,0.68808,0.76182,0.79029,0.73814,1.02373,0.99607,1.90778,1.52228,-0.21332,-0.65244,-0.96795,0.47162,1.58657,1.63084,1.34040,1.18153,1.15883,1.57964,1.64668,0.42254
0.06201,0.71479,0.06423,0.44241,0.58341,0.83314,0.93265,1.15744,0.90600,0.94591,0.81668,0.51514,0.50219,0.37437,0.91810,1.54323,0.90278,0.55097,0.23230,0.17239,0.20601,0.71506,1.25492,1.02441
0.08993,0.63119,0.45096,0.93051,0.86951,1.23757,1.03050,1.31394,0.89967,0.88027,0.69142,0.32432,0.38435,0.25297,0.80926,1.48553,0.89204,0.53995,0.22858,0.15178,0.14192,0.61515,1.11281,0.88713
0.74051,0.72544,0.54503,1.11930,0.81525,1.49130,1.09864,1.44486,1.07200,1.07206,0.67266,0.36120,0.85727,0.77477,1.11037,1.39070,0.75544,0.41890,0.13493,0.10369,0.14192,0.45031,1.09461,1.21938
-0.04395,0.66799,0.01487,1.02131,0.59691,1.20616,0.90505,1.56023,0.87424,1.34393,0.80768,0.90721,0.40289,0.24332,0.77598,1.48230,0.88895,0.53552,0.25434,0.21720,0.35920,0.76383,1.20529,0.95931
0.04527,0.72189,-0.05086,0.52587,0.49965,1.06449,0.87703,1.33807,0.94367,1.24944,0.84946,0.86777,0.15494,-0.12251,0.44501,1.59695,1.20706,0.78331,0.46052,0.40189,0.44832,0.87483,1.27227,0.79283
0.01738,0.65068,-0.06584,0.54925,0.53339,1.28727,0.86759,1.73108,0.82919,1.51944,0.80167,0.87769,0.17566,-0.05284,0.53505,1.56069,1.07652,0.67970,0.36110,0.27838,0.32764,0.75698,1.17277,0.77242
0.04527,0.70742,0.13569,0.68560,0.59691,1.05132,0.93265,1.16584,0.94367,1.07206,0.74703,0.24897,0.38124,0.20754,0.76215,1.56702,1.00783,0.62122,0.31428,0.24593,0.30446,0.73968,1.23166,0.94005
-0.05510,0.71454,-0.35158,-0.04843,0.30516,1.12315,0.77043,1.16584,0.81619,0.85993,0.90824,0.67100,0.62824,0.54298,1.03384,1.47745,0.80664,0.46457,0.17893,0.11458,0.22141,0.64561,1.19055,1.12212
-0.35526,0.93561,0.20115,0.77306,0.66260,1.36057,0.88642,1.33406,0.97471,1.24696,1.25423,0.80735,-0.10157,-0.50885,-0.30229,1.29681,1.69449,1.35030,0.99927,0.80113,0.83973,1.23325,1.54932,0.56884
