lon_deg,lat_deg,area_km2,elev_gage,elev_mean,elev_median,elev_std,slope_mean_pct
0.03450,0.58654,-0.83874,-0.22362,0.12185,0.11001,0.66521,1.09666
0.02113,0.14174,-0.69881,-1.08489,-1.08496,-1.05540,-0.81554,-0.54970
0.02529,0.12172,0.16370,-1.68793,-1.15155,-1.15164,-0.43410,-0.43690
0.01489,0.02789,-0.09047,-2.23815,-1.64387,-1.73696,-0.67027,-0.61076
0.00999,0.06221,0.19713,-1.78768,-0.97696,-0.94123,-0.34850,-0.22574
0.01206,0.14654,-0.43843,-0.76766,-0.75097,-0.73365,-0.65129,-0.11301
0.01334,0.13833,-0.64672,-0.68103,-0.83844,-0.82379,-0.51361,-0.40171
0.01140,0.06768,0.36613,-1.33335,-1.01778,-1.00607,-0.34380,-0.35092
0.00823,0.06040,-0.71319,-1.34645,-1.23068,-1.18618,-0.84114,-0.38452
-0.00452,0.27309,-1.11030,-0.56328,-0.25932,-0.19293,0.06502,0.56965
-0.00300,0.14004,1.73771,-1.90956,-0.31818,-0.32870,0.49641,0.40858
-0.00171,0.12639,-1.64200,-1.64388,-1.43177,-1.54549,-0.52959,-0.51081
-0.01137,0.10267,-2.29756,-0.26770,-0.59048,-0.56932,-0.97842,-0.51081
-0.00955,0.09704,0.03675,-0.93619,-0.42803,-0.36996,0.06867,0.16061
-0.00661,0.12538,0.25740,-1.02356,-0.61531,-0.57844,0.25033,0.03773
-0.00258,0.10210,-0.81174,-1.73561,-1.15976,-1.18618,-0.30597,-0.35092
0.00063,0.05921,-0.62924,-1.62303,-1.10127,-1.07073,-0.71889,-0.21103
-0.00127,0.01343,-2.12687,-1.73561,-1.62264,-1.62063,-0.92344,-0.53008
-0.00848,0.04012,-0.60245,-2.11897,-1.44929,-1.60118,-0.42243,-0.31830
-0.01999,0.15629,0.14805,-0.33976,-0.30795,-0.33586,0.13113,0.25241
-0.02162,0.04321,-0.91858,-0.85765,-1.00845,-1.01089,-0.58265,-0.08648
-0.01611,0.02794,0.77253,-1.66549,-0.54547,-0.54838,0.19079,0.24255
-0.01365,0.03878,-0.15659,-1.34645,-0.72488,-0.71942,-0.15913,0.04945
-0.01731,-0.01000,-1.83817,-1.98307,-1.57013,-1.60118,-0.67729,-0.67542
-0.01934,-0.01500,-1.99360,-1.60288,-1.63802,-1.59163,-1.04898,-0.67542
-0.02143,0.01132,-1.46459,-0.85087,-0.97159,-0.95474,-0.77465,0.06106
-0.01000,-0.07492,-0.81309,-1.90956,-2.06135,-2.04026,-1.58047,-1.37223
-0.04991,0.30519,-0.91958,-0.33230,-0.49586,-0.53077,-0.12491,-0.14016
-0.03228,0.28800,-1.60935,-0.88531,-1.35543,-1.33994,-1.54574,-1.28928
-0.04863,0.00492,-0.47545,-0.70892,-0.77490,-0.80816,-0.22276,0.02590
-0.03540,-0.04356,-0.94806,-2.02428,-1.68809,-1.77191,-0.68437,-0.41916
-0.04385,-0.07221,-0.84160,-1.21448,-1.24328,-1.32602,-0.37242,-0.47324
-0.04513,-0.04000,-0.88942,-0.43425,-0.48450,-0.45251,-0.48950,0.09519
-0.03949,-0.02519,-0.54563,-0.95905,-0.75699,-0.71942,-0.23196,0.33761
-0.04099,-0.06483,0.40533,-1.34645,-0.93443,-0.95474,-0.02481,-0.02271
-0.03755,-0.06379,-0.94806,-1.84517,-1.54640,-1.46034,-0.53549,-0.74419
-0.04301,-0.10147,-1.35087,-1.56450,-1.48549,-1.54549,-0.56254,-0.35092
-0.04234,-0.11422,-1.10598,-2.06928,-1.66667,-1.86013,-0.56714,-0.59002
-0.05861,-0.10890,-1.75795,-0.90672,-0.95348,-0.94123,-0.46472,-0.07344
-0.05525,-0.14126,-1.35938,-1.47785,-1.52587,-1.65071,-0.75110,-0.69786
