Epoch 1, time 14.48, RMSE_train 1.658, RMSE_test 1.237
Epoch 2, time 4.19, RMSE_train 1.301, RMSE_test 1.136
Epoch 3, time 3.67, RMSE_train 1.257, RMSE_test 1.091
Epoch 4, time 3.71, RMSE_train 1.219, RMSE_test 1.064
Epoch 5, time 4.38, RMSE_train 1.191, RMSE_test 1.026
Epoch 6, time 4.19, RMSE_train 1.171, RMSE_test 1.053
Epoch 7, time 3.77, RMSE_train 1.146, RMSE_test 1.032
Epoch 8, time 4.19, RMSE_train 1.139, RMSE_test 1.043
Epoch 9, time 4.29, RMSE_train 1.126, RMSE_test 0.995
Epoch 10, time 3.56, RMSE_train 1.116, RMSE_test 1.032
Epoch 11, time 2.84, RMSE_train 1.104, RMSE_test 0.996
Epoch 12, time 2.82, RMSE_train 1.099, RMSE_test 1.025
Epoch 13, time 3.32, RMSE_train 1.089, RMSE_test 0.964
Epoch 14, time 4.33, RMSE_train 1.079, RMSE_test 0.929
Epoch 15, time 4.61, RMSE_train 1.066, RMSE_test 0.947
Epoch 16, time 3.80, RMSE_train 1.069, RMSE_test 0.904
Epoch 17, time 3.10, RMSE_train 1.061, RMSE_test 0.917
Epoch 18, time 3.46, RMSE_train 1.054, RMSE_test 0.915
Epoch 19, time 3.98, RMSE_train 1.047, RMSE_test 0.907
Epoch 20, time 3.27, RMSE_train 1.043, RMSE_test 0.920
Epoch 21, time 3.81, RMSE_train 1.043, RMSE_test 0.960
Epoch 22, time 3.38, RMSE_train 1.024, RMSE_test 0.911
Epoch 23, time 4.05, RMSE_train 1.029, RMSE_test 0.923
Epoch 24, time 4.19, RMSE_train 1.021, RMSE_test 0.923
Epoch 25, time 3.98, RMSE_train 1.018, RMSE_test 0.875
Epoch 26, time 2.53, RMSE_train 1.021, RMSE_test 0.905
Epoch 27, time 2.41, RMSE_train 1.018, RMSE_test 0.892
Epoch 28, time 3.41, RMSE_train 1.014, RMSE_test 0.880
Epoch 29, time 3.46, RMSE_train 1.010, RMSE_test 0.918
Epoch 30, time 4.40, RMSE_train 1.004, RMSE_test 0.920
Epoch 31, time 3.31, RMSE_train 1.008, RMSE_test 0.897
Epoch 32, time 4.35, RMSE_train 1.006, RMSE_test 0.915
Epoch 33, time 3.67, RMSE_train 1.008, RMSE_test 1.023
Epoch 34, time 4.28, RMSE_train 1.000, RMSE_test 0.989
Epoch 35, time 3.23, RMSE_train 1.003, RMSE_test 0.875
Epoch 36, time 3.74, RMSE_train 0.999, RMSE_test 0.895
Epoch 37, time 3.38, RMSE_train 0.993, RMSE_test 0.848
Epoch 38, time 4.31, RMSE_train 0.991, RMSE_test 0.901
Epoch 39, time 4.38, RMSE_train 0.988, RMSE_test 0.915
Epoch 40, time 4.30, RMSE_train 0.977, RMSE_test 0.883
Epoch 41, time 3.66, RMSE_train 0.980, RMSE_test 0.854
Epoch 42, time 4.04, RMSE_train 0.968, RMSE_test 0.878
Epoch 43, time 3.93, RMSE_train 0.979, RMSE_test 0.870
Epoch 44, time 4.58, RMSE_train 0.974, RMSE_test 0.939
Epoch 45, time 3.95, RMSE_train 0.989, RMSE_test 0.867
Epoch 46, time 3.82, RMSE_train 0.971, RMSE_test 0.855
Epoch 47, time 4.72, RMSE_train 0.967, RMSE_test 0.878
Epoch 48, time 4.23, RMSE_train 0.968, RMSE_test 0.882
Epoch 49, time 3.79, RMSE_train 0.956, RMSE_test 0.848
Epoch 50, time 3.56, RMSE_train 0.967, RMSE_test 0.846
Epoch 51, time 3.66, RMSE_train 0.957, RMSE_test 0.837
Epoch 52, time 4.25, RMSE_train 0.967, RMSE_test 0.918
Epoch 53, time 4.09, RMSE_train 0.968, RMSE_test 0.894
Epoch 54, time 4.01, RMSE_train 0.957, RMSE_test 0.848
Epoch 55, time 3.73, RMSE_train 0.956, RMSE_test 0.883
Epoch 56, time 3.95, RMSE_train 0.956, RMSE_test 0.841
Epoch 57, time 4.34, RMSE_train 0.960, RMSE_test 0.863
Epoch 58, time 3.74, RMSE_train 0.960, RMSE_test 0.850
Epoch 59, time 4.10, RMSE_train 0.947, RMSE_test 0.854
Epoch 60, time 3.82, RMSE_train 0.954, RMSE_test 0.870
Epoch 61, time 4.03, RMSE_train 0.947, RMSE_test 0.861
Epoch 62, time 3.73, RMSE_train 0.947, RMSE_test 0.841
Epoch 63, time 4.19, RMSE_train 0.950, RMSE_test 0.859
Epoch 64, time 3.36, RMSE_train 0.942, RMSE_test 0.861
Epoch 65, time 4.08, RMSE_train 0.953, RMSE_test 0.897
Epoch 66, time 3.65, RMSE_train 0.944, RMSE_test 0.960
Epoch 67, time 3.36, RMSE_train 0.950, RMSE_test 0.884
Epoch 68, time 3.43, RMSE_train 0.946, RMSE_test 0.874
Epoch 69, time 4.05, RMSE_train 0.951, RMSE_test 0.897
Epoch 70, time 4.05, RMSE_train 0.947, RMSE_test 0.878
Epoch 71, time 3.87, RMSE_train 0.946, RMSE_test 0.898
Epoch 72, time 4.38, RMSE_train 0.938, RMSE_test 0.839
Epoch 73, time 4.31, RMSE_train 0.933, RMSE_test 0.828
Epoch 74, time 3.93, RMSE_train 0.942, RMSE_test 0.876
Epoch 75, time 4.15, RMSE_train 0.932, RMSE_test 0.976
Epoch 76, time 4.34, RMSE_train 0.929, RMSE_test 0.835
Epoch 77, time 3.94, RMSE_train 0.935, RMSE_test 0.922
Epoch 78, time 3.80, RMSE_train 0.929, RMSE_test 0.892
Epoch 79, time 3.56, RMSE_train 0.935, RMSE_test 0.829
Epoch 80, time 3.39, RMSE_train 0.927, RMSE_test 0.867
Epoch 81, time 4.33, RMSE_train 0.929, RMSE_test 0.880
Epoch 82, time 5.25, RMSE_train 0.931, RMSE_test 0.867
Epoch 83, time 3.73, RMSE_train 0.934, RMSE_test 0.843
Epoch 84, time 2.52, RMSE_train 0.921, RMSE_test 0.923
Epoch 85, time 3.66, RMSE_train 0.919, RMSE_test 0.913
Epoch 86, time 3.53, RMSE_train 0.925, RMSE_test 0.852
Epoch 87, time 3.92, RMSE_train 0.916, RMSE_test 0.860
Epoch 88, time 4.13, RMSE_train 0.920, RMSE_test 0.853
Epoch 89, time 4.15, RMSE_train 0.925, RMSE_test 0.895
Epoch 90, time 3.74, RMSE_train 0.925, RMSE_test 0.926
Epoch 91, time 4.12, RMSE_train 0.918, RMSE_test 0.925
Epoch 92, time 3.92, RMSE_train 0.915, RMSE_test 0.858
Epoch 93, time 4.11, RMSE_train 0.916, RMSE_test 0.814
Epoch 94, time 4.10, RMSE_train 0.914, RMSE_test 0.888
Epoch 95, time 4.01, RMSE_train 0.919, RMSE_test 0.913
Epoch 96, time 4.27, RMSE_train 0.914, RMSE_test 0.847
Epoch 97, time 3.35, RMSE_train 0.919, RMSE_test 0.830
Epoch 98, time 3.76, RMSE_train 0.912, RMSE_test 0.870
Epoch 99, time 4.02, RMSE_train 0.910, RMSE_test 0.908
Epoch 100, time 4.09, RMSE_train 0.908, RMSE_test 0.818
