Epoch 1, time 15.62, RMSE 1.006, RMSE_test 0.734, NSE 0.892, NSE_test 0.319
Epoch 2, time 17.42, RMSE 0.786, RMSE_test 0.645, NSE 0.852, NSE_test 0.230
Epoch 3, time 15.09, RMSE 0.766, RMSE_test 0.703, NSE 0.842, NSE_test 0.294
Epoch 4, time 17.17, RMSE 0.731, RMSE_test 0.622, NSE 0.535, NSE_test 0.239
Epoch 5, time 13.13, RMSE 0.725, RMSE_test 0.594, NSE 0.481, NSE_test 0.245
Epoch 6, time 15.43, RMSE 0.714, RMSE_test 0.614, NSE 0.693, NSE_test 0.206
Epoch 7, time 13.87, RMSE 0.701, RMSE_test 0.601, NSE 0.429, NSE_test 0.195
Epoch 8, time 15.21, RMSE 0.696, RMSE_test 0.580, NSE 0.392, NSE_test 0.256
Epoch 9, time 16.86, RMSE 0.689, RMSE_test 0.570, NSE 0.543, NSE_test 0.271
Epoch 10, time 13.17, RMSE 0.688, RMSE_test 0.637, NSE 0.716, NSE_test 0.226
Epoch 11, time 16.99, RMSE 0.682, RMSE_test 0.565, NSE 0.572, NSE_test 0.338
Epoch 12, time 14.13, RMSE 0.678, RMSE_test 0.609, NSE 0.581, NSE_test 0.290
Epoch 13, time 13.61, RMSE 0.675, RMSE_test 0.562, NSE 0.439, NSE_test 0.247
Epoch 14, time 14.44, RMSE 0.667, RMSE_test 0.621, NSE 0.463, NSE_test 0.264
Epoch 15, time 15.10, RMSE 0.665, RMSE_test 0.571, NSE 0.523, NSE_test 0.225
Epoch 16, time 15.94, RMSE 0.661, RMSE_test 0.553, NSE 0.532, NSE_test 0.241
Epoch 17, time 15.12, RMSE 0.661, RMSE_test 0.565, NSE 0.341, NSE_test 0.187
Epoch 18, time 14.94, RMSE 0.654, RMSE_test 0.583, NSE 0.474, NSE_test 0.241
Epoch 19, time 15.20, RMSE 0.652, RMSE_test 0.573, NSE 0.496, NSE_test 0.217
Epoch 20, time 15.23, RMSE 0.651, RMSE_test 0.637, NSE 0.548, NSE_test 0.341
Epoch 21, time 17.11, RMSE 0.652, RMSE_test 0.574, NSE 0.473, NSE_test 0.219
Epoch 22, time 13.41, RMSE 0.643, RMSE_test 0.554, NSE 0.484, NSE_test 0.252
Epoch 23, time 15.23, RMSE 0.646, RMSE_test 0.562, NSE 0.560, NSE_test 0.287
Epoch 24, time 14.45, RMSE 0.638, RMSE_test 0.532, NSE 0.492, NSE_test 0.199
Epoch 25, time 13.14, RMSE 0.636, RMSE_test 0.556, NSE 0.478, NSE_test 0.208
Epoch 26, time 15.06, RMSE 0.635, RMSE_test 0.568, NSE 0.532, NSE_test 0.326
Epoch 27, time 17.08, RMSE 0.639, RMSE_test 0.586, NSE 0.517, NSE_test 0.241
Epoch 28, time 14.99, RMSE 0.632, RMSE_test 0.595, NSE 0.449, NSE_test 0.318
Epoch 29, time 15.10, RMSE 0.632, RMSE_test 0.556, NSE 0.524, NSE_test 0.269
Epoch 30, time 15.13, RMSE 0.625, RMSE_test 0.535, NSE 0.419, NSE_test 0.270
Epoch 31, time 13.54, RMSE 0.628, RMSE_test 0.541, NSE 0.400, NSE_test 0.198
Epoch 32, time 17.11, RMSE 0.628, RMSE_test 0.557, NSE 0.382, NSE_test 0.221
Epoch 33, time 15.12, RMSE 0.627, RMSE_test 0.573, NSE 0.550, NSE_test 0.285
Epoch 34, time 14.57, RMSE 0.623, RMSE_test 0.535, NSE 0.388, NSE_test 0.226
Epoch 35, time 15.07, RMSE 0.633, RMSE_test 0.551, NSE 0.372, NSE_test 0.218
Epoch 36, time 14.50, RMSE 0.621, RMSE_test 0.551, NSE 0.497, NSE_test 0.307
Epoch 37, time 15.04, RMSE 0.625, RMSE_test 0.552, NSE 0.422, NSE_test 0.261
Epoch 38, time 15.64, RMSE 0.621, RMSE_test 0.545, NSE 0.544, NSE_test 0.276
Epoch 39, time 14.95, RMSE 0.620, RMSE_test 0.560, NSE 0.331, NSE_test 0.287
Epoch 40, time 13.52, RMSE 0.621, RMSE_test 0.548, NSE 0.451, NSE_test 0.222
Epoch 41, time 15.04, RMSE 0.621, RMSE_test 0.545, NSE 0.477, NSE_test 0.222
Epoch 42, time 15.09, RMSE 0.604, RMSE_test 0.578, NSE 0.456, NSE_test 0.250
Epoch 43, time 17.07, RMSE 0.615, RMSE_test 0.545, NSE 0.327, NSE_test 0.401
Epoch 44, time 14.76, RMSE 0.614, RMSE_test 0.540, NSE 0.568, NSE_test 0.288
Epoch 45, time 13.23, RMSE 0.620, RMSE_test 0.554, NSE 0.579, NSE_test 0.216
Epoch 46, time 13.50, RMSE 0.611, RMSE_test 0.547, NSE 0.457, NSE_test 0.290
Epoch 47, time 15.13, RMSE 0.608, RMSE_test 0.541, NSE 0.442, NSE_test 0.235
Epoch 48, time 15.30, RMSE 0.609, RMSE_test 0.546, NSE 0.372, NSE_test 0.288
Epoch 49, time 13.70, RMSE 0.601, RMSE_test 0.526, NSE 0.468, NSE_test 0.253
